z,S_equivalent,u,u_z,sigma
0.2200000000,nan,0.7551504371,-0.9139397188,0.1
0.2400000000,nan,0.7368716773,-0.9139394797,0.1
0.2600000000,nan,0.7185928579,-0.9139414783,0.1
0.2800000000,nan,0.7003140182,-0.9139406394,0.1
0.3000000000,nan,0.6820352323,-0.9139395854,0.1
0.3200000000,nan,0.6637564348,-0.9139406775,0.1
0.3400000000,nan,0.6454776052,-0.9139409265,0.1
0.3600000000,nan,0.6271987977,-0.9139400719,0.1
0.3800000000,nan,0.6089200023,-0.9139402567,0.1
0.4000000000,nan,0.5906411875,-0.9139407451,0.1
0.4200000000,nan,0.5723623725,-0.9139404400,0.1
0.4400000000,nan,0.5540835699,-0.9139402438,0.1
0.4600000000,nan,0.5358047628,-0.9139405026,0.1
0.4800000000,nan,0.5175259498,-0.9139405323,0.1
0.5000000000,nan,0.4992471415,-0.9139403682,0.1
0.5200000000,nan,0.4809683350,-0.9139404050,0.1
0.5400000000,nan,0.4626895253,-0.9139404867,0.1
0.5600000000,nan,0.4444107156,-0.9139404400,0.1
0.5800000000,nan,0.4261319077,-0.9139404106,0.1
0.6000000000,nan,0.4078530991,-0.9139404444,0.1
0.6200000000,nan,0.3895742899,-0.9139404484,0.1
0.6400000000,nan,0.3712954812,-0.9139404307,0.1
0.6600000000,nan,0.3530166727,-0.9139404317,0.1
0.6800000000,nan,0.3347378639,-0.9139404208,0.1
0.7000000000,nan,0.3164590558,-0.9139403180,0.1
0.7200000000,nan,0.2981802512,-0.9139397675,0.1
0.7400000000,nan,0.2799014651,-0.9139370597,0.1
0.7600000000,nan,0.2616227688,-0.9139250731,0.1
0.7800000000,nan,0.2433444622,-0.9138777083,0.1
0.8000000000,nan,0.2250676605,-0.9137117278,0.1
0.8200000000,nan,0.2067959931,-0.9131981547,0.1
0.8400000000,nan,0.1885397343,-0.9117987595,0.1
0.8600000000,nan,0.1703240427,-0.9084396879,0.1
0.8800000000,nan,0.1522021468,-0.9013081458,0.1
0.9000000000,nan,0.1342717169,-0.8878250358,0.1
0.9200000000,nan,0.1166891454,-0.8649370461,0.1
0.9400000000,nan,0.0996742350,-0.8297534600,0.1
0.9600000000,nan,0.0834990070,-0.7803740929,0.1
0.9800000000,nan,0.0684592713,-0.7166207057,0.1
1.0000000000,nan,0.0548341787,-0.6403829231,0.1
1.0200000000,nan,0.0428439544,-0.5554289447,0.1
1.0400000000,nan,0.0326170209,-0.4667368152,0.1
1.0600000000,nan,0.0241744818,-0.3795699527,0.1
1.0800000000,nan,0.0174342228,-0.2985806388,0.1
1.1000000000,nan,0.0122312562,-0.2271709772,0.1
1.1200000000,nan,0.0083473837,-0.1672185442,0.1
1.1400000000,nan,0.0055425145,-0.1191464943,0.1
1.1600000000,nan,0.0035815240,-0.0822319603,0.1
1.1800000000,nan,0.0022532361,-0.0550182192,0.1
1.2000000000,nan,0.0013807952,-0.0357149515,0.1
1.2200000000,nan,0.0008246380,-0.0225141254,0.1
1.2400000000,nan,0.0004802302,-0.0137945474,0.1
1.2600000000,nan,0.0002728561,-0.0082221868,0.1
1.2800000000,nan,0.0001513427,-0.0047715942,0.1
1.3000000000,nan,0.0000819923,-0.0026982936,0.1
1.3200000000,nan,0.0000434110,-0.0014879869,0.1
1.3400000000,nan,0.0000224729,-0.0008007686,0.1
1.3600000000,nan,0.0000113802,-0.0004208272,0.1
1.3800000000,nan,0.0000056398,-0.0002161007,0.1
1.4000000000,nan,0.0000027362,-0.0001084936,0.1
1.4200000000,nan,0.0000013000,-0.0000532795,0.1
1.4400000000,nan,0.0000006050,-0.0000256040,0.1
1.4600000000,nan,0.0000002759,-0.0000120447,0.1
1.4800000000,nan,0.0000001232,-0.0000055481,0.1
1.5000000000,nan,0.0000000539,-0.0000025027,0.1
1.5200000000,nan,0.0000000231,-0.0000011057,0.1
1.5400000000,nan,0.0000000097,-0.0000004784,0.1
1.5600000000,nan,0.0000000040,-0.0000002027,0.1
1.5800000000,nan,0.0000000016,-0.0000000841,0.1
1.6000000000,nan,0.0000000006,-0.0000000341,0.1
1.6200000000,nan,0.0000000002,-0.0000000135,0.1
1.6400000000,nan,0.0000000001,-0.0000000052,0.1
1.6600000000,nan,0.0000000000,-0.0000000020,0.1
1.6800000000,nan,0.0000000000,-0.0000000007,0.1
1.7000000000,nan,0.0000000000,-0.0000000003,0.1
1.7200000000,nan,0.0000000000,-0.0000000001,0.1
1.7400000000,nan,0.0000000000,-0.0000000000,0.1
1.7600000000,nan,0.0000000000,-0.0000000000,0.1
1.7800000000,nan,0.0000000000,-0.0000000000,0.1
1.8000000000,nan,0.0000000000,-0.0000000000,0.1
1.8200000000,nan,-0.0000000000,-0.0000000000,0.1
1.8400000000,nan,-0.0000000000,0.0000000000,0.1
1.8600000000,nan,-0.0000000000,0.0000000000,0.1
1.8800000000,nan,-0.0000000000,0.0000000000,0.1
1.9000000000,nan,-0.0000000000,0.0000000000,0.1
1.9200000000,nan,-0.0000000000,0.0000000000,0.1
1.9400000000,nan,-0.0000000000,0.0000000000,0.1
1.9600000000,nan,-0.0000000000,0.0000000000,0.1
1.9800000000,nan,-0.0000000000,0.0000000000,0.1
-1.9800000000,nan,1.9126729480,-0.0002904607,0.2
-1.9600000000,nan,1.9126640620,-0.0006324810,0.2
-1.9400000000,nan,1.9126476490,-0.0010480834,0.2
-1.9200000000,nan,1.9126221390,-0.0015476225,0.2
-1.9000000000,nan,1.9125857440,-0.0021425104,0.2
-1.8800000000,nan,1.9125364380,-0.0028452846,0.2
-1.8600000000,nan,1.9124719320,-0.0036696749,0.2
-1.8400000000,nan,1.9123896510,-0.0046306687,0.2
-1.8200000000,nan,1.9122867060,-0.0057445733,0.2
-1.8000000000,nan,1.9121598680,-0.0070290732,0.2
-1.7800000000,nan,1.9120055430,-0.0085032824,0.2
-1.7600000000,nan,1.9118197370,-0.0101877884,0.2
-1.7400000000,nan,1.9115980310,-0.0121046874,0.2
-1.7200000000,nan,1.9113355490,-0.0142776077,0.2
-1.7000000000,nan,1.9110269270,-0.0167317193,0.2
-1.6800000000,nan,1.9106662810,-0.0194937277,0.2
-1.6600000000,nan,1.9102471780,-0.0225918493,0.2
-1.6400000000,nan,1.9097626070,-0.0260557647,0.2
-1.6200000000,nan,1.9092049470,-0.0299165490,0.2
-1.6000000000,nan,1.9085659450,-0.0342065744,0.2
-1.5800000000,nan,1.9078366840,-0.0389593836,0.2
-1.5600000000,nan,1.9070075690,-0.0442095303,0.2
-1.5400000000,nan,1.9060683030,-0.0499923846,0.2
-1.5200000000,nan,1.9050078740,-0.0563439004,0.2
-1.5000000000,nan,1.9038145470,-0.0633003436,0.2
-1.4800000000,nan,1.9024758600,-0.0708979769,0.2
-1.4600000000,nan,1.9009786280,-0.0791727030,0.2
-1.4400000000,nan,1.8993089520,-0.0881596630,0.2
-1.4200000000,nan,1.8974522410,-0.0978927908,0.2
-1.4000000000,nan,1.8953932410,-0.1084043252,0.2
-1.3800000000,nan,1.8931160680,-0.1197242798,0.2
-1.3600000000,nan,1.8906042690,-0.1318798766,0.2
-1.3400000000,nan,1.8878408730,-0.1448949444,0.2
-1.3200000000,nan,1.8848084720,-0.1587892912,0.2
-1.3000000000,nan,1.8814893020,-0.1735780553,0.2
-1.2800000000,nan,1.8778653490,-0.1892710465,0.2
-1.2600000000,nan,1.8739184600,-0.2058720862,0.2
-1.2400000000,nan,1.8696304660,-0.2233783601,0.2
-1.2200000000,nan,1.8649833250,-0.2417797975,0.2
-1.2000000000,nan,1.8599592740,-0.2610584924,0.2
-1.1800000000,nan,1.8545409860,-0.2811881832,0.2
-1.1600000000,nan,1.8487117470,-0.3021338105,0.2
-1.1400000000,nan,1.8424556330,-0.3238511700,0.2
-1.1200000000,nan,1.8357577000,-0.3462866809,0.2
-1.1000000000,nan,1.8286041660,-0.3693772890,0.2
-1.0800000000,nan,1.8209826080,-0.3930505213,0.2
-1.0600000000,nan,1.8128821450,-0.4172247103,0.2
-1.0400000000,nan,1.8042936200,-0.4418094015,0.2
-1.0200000000,nan,1.7952097690,-0.4667059560,0.2
-1.0000000000,nan,1.7856253820,-0.4918083545,0.2
-0.9800000000,nan,1.7755374350,-0.5170042067,0.2
-0.9600000000,nan,1.7649452130,-0.5421759619,0.2
-0.9400000000,nan,1.7538503970,-0.5672023123,0.2
-0.9200000000,nan,1.7422571210,-0.5919597721,0.2
-0.9000000000,nan,1.7301720060,-0.6163244097,0.2
-0.8800000000,nan,1.7176041440,-0.6401737019,0.2
-0.8600000000,nan,1.7045650580,-0.6633884720,0.2
-0.8400000000,nan,1.6910686060,-0.6858548675,0.2
-0.8200000000,nan,1.6771308630,-0.7074663274,0.2
-0.8000000000,nan,1.6627699530,-0.7281254824,0.2
-0.7800000000,nan,1.6480058440,-0.7477459331,0.2
-0.7600000000,nan,1.6328601150,-0.7662538447,0.2
-0.7400000000,nan,1.6173556900,-0.7835893035,0.2
-0.7200000000,nan,1.6015165430,-0.7997073818,0.2
-0.7000000000,nan,1.5853673950,-0.8145788640,0.2
-0.6800000000,nan,1.5689333880,-0.8281906007,0.2
-0.6600000000,nan,1.5522397710,-0.8405454630,0.2
-0.6400000000,nan,1.5353115700,-0.8516618904,0.2
-0.6200000000,nan,1.5181732950,-0.8615730356,0.2
-0.6000000000,nan,1.5008486490,-0.8703255308,0.2
-0.5800000000,nan,1.4833602740,-0.8779779136,0.2
-0.5600000000,nan,1.4657295320,-0.8845987671,0.2
