# V4 2D basket call-on-min — rho=0
# K=100 T=1 r=0.05 sigma1=0.2 sigma2=0.2
# N_x=64 N_y=64 N_t=500 p=1 delta_p=2
x1,x2,S1,S2,u_DPG,delta1,delta2
-2.765625,-0.140625,6.293675158,86.88150563,6.730155459e-08,1.29838058e-07,-2.730351614e-09
-2.765625,-0.046875,6.293675158,95.4206666,8.374088857e-08,6.860654781e-08,-1.69556202e-08
-2.765625,0.046875,6.293675158,104.7991002,1.850563617e-07,4.015519989e-08,-4.012971597e-10
-2.765625,0.140625,6.293675158,115.0992945,-1.250147536e-08,2.882888699e-08,-7.909721983e-09
-2.765625,0.234375,6.293675158,126.4118448,1.150935553e-07,2.680045998e-08,-5.092308155e-09
-2.765625,0.328125,6.293675158,138.8362507,5.11253479e-08,3.916877205e-08,-1.999942107e-09
-2.765625,0.421875,6.293675158,152.4817911,1.09531365e-07,4.873003905e-08,-4.545609804e-09
-2.765625,0.515625,6.293675158,167.4684853,1.492875682e-07,6.767756427e-08,-2.704634521e-09
-2.765625,0.609375,6.293675158,183.9281489,1.21303065e-07,9.176694987e-08,-3.064966648e-09
-2.765625,0.703125,6.293675158,202.0055528,1.766238032e-07,1.050974189e-07,-3.60287377e-09
-2.765625,0.796875,6.293675158,221.8596969,1.585917685e-07,1.18085214e-07,-3.468552697e-09
-2.765625,0.890625,6.293675158,243.6652083,1.916572531e-07,1.203941974e-07,-3.629866485e-09
-2.765625,0.984375,6.293675158,267.6138775,1.824262966e-07,1.060146769e-07,-3.933701958e-09
-2.765625,1.078125,6.293675158,293.916345,2.075843587e-07,9.196230619e-08,-3.411589506e-09
-2.765625,1.171875,6.293675158,322.8039542,1.69325236e-07,7.199271602e-08,-2.949952642e-09
-2.765625,1.265625,6.293675158,354.5307861,1.842064597e-07,4.328538479e-08,-2.270325851e-09
-2.765625,1.359375,6.293675158,389.3758942,1.791636333e-07,2.403441858e-08,-1.450534891e-09
-2.765625,1.453125,6.293675158,427.6457586,1.750580002e-07,1.512363195e-08,-5.412398089e-10
-2.765625,1.546875,6.293675158,469.676982,1.827207677e-07,1.557490397e-08,3.788234199e-10
-2.765625,1.640625,6.293675158,515.83925,2.069520524e-07,2.73495754e-08,1.077351483e-09
-2.765625,1.734375,6.293675158,566.5385831,1.988993127e-07,6.094195224e-08,1.912009419e-09
-2.765625,1.828125,6.293675158,622.2209072,2.036190088e-07,1.122013223e-07,2.223308452e-09
-2.765625,1.921875,6.293675158,683.3759764,2.604983576e-07,1.689565236e-07,2.41897218e-09
-2.765625,2.015625,6.293675158,750.5416801,2.702022232e-07,2.366522867e-07,2.360943552e-09
-2.765625,2.109375,6.293675158,824.3087744,2.749409885e-07,2.986231842e-07,2.199979516e-09
-2.765625,2.203125,6.293675158,905.326078,2.838698179e-07,3.634825235e-07,1.947887512e-09
-2.765625,2.296875,6.293675158,994.3061786,2.567648857e-07,4.180932636e-07,1.334099565e-09
-2.765625,2.390625,6.293675158,1092.031701,3.809292508e-07,4.291351919e-07,5.366319291e-10
-2.765625,2.484375,6.293675158,1199.36219,2.412667722e-07,4.419161196e-07,8.42331855e-10
-2.765625,2.578125,6.293675158,1317.241671,1.535685829e-07,4.32181557e-07,-2.663072158e-10
-2.765625,2.671875,6.293675158,1446.706953,4.054969061e-07,3.445439131e-07,-1.021180744e-09
-2.765625,2.765625,6.293675158,1588.896749,-8.384716878e-09,2.944241806e-07,3.153525313e-10
-2.765625,2.859375,6.293675158,1745.061689,2.457915945e-08,1.958581136e-07,-1.752985086e-09
-2.765625,2.953125,6.293675158,1916.575322,2.822931672e-07,4.365080748e-08,-6.674694722e-10
-2.671875,-2.953125,6.912249904,5.217639967,7.501279699e-08,4.34292893e-08,5.916973167e-07
-2.671875,-2.859375,6.912249904,5.730456443,6.653585823e-08,1.220634508e-07,5.012477195e-07
-2.671875,-2.765625,6.912249904,6.293675158,1.763420923e-07,1.830217427e-07,3.655188067e-07
-2.671875,-2.671875,6.912249904,6.912249904,2.756606146e-07,2.3336024e-07,2.430099492e-07
-2.671875,-2.578125,6.912249904,7.591621356,2.729706562e-07,2.587547595e-07,1.20027212e-07
-2.671875,-2.484375,6.912249904,8.337764926,3.456989265e-07,2.673125994e-07,2.677182826e-08
-2.671875,-2.390625,6.912249904,9.157243322,2.922286875e-07,2.563090203e-07,-4.49133156e-08
-2.671875,-2.296875,6.912249904,10.05726427,3.251093246e-07,2.23449247e-07,-9.711664755e-08
-2.671875,-2.203125,6.912249904,11.0457439,2.125878352e-07,1.964808287e-07,-1.158177023e-07
-2.671875,-2.109375,6.912249904,12.13137638,2.214126065e-07,1.540721556e-07,-1.359971682e-07
-2.671875,-2.015625,6.912249904,13.32371041,2.160894053e-07,1.234593196e-07,-1.243787783e-07
-2.671875,-1.921875,6.912249904,14.63323316,1.589074346e-07,9.997915326e-08,-1.097803297e-07
-2.671875,-1.828125,6.912249904,16.07146254,1.554989884e-07,8.986083504e-08,-8.159783336e-08
-2.671875,-1.734375,6.912249904,17.65104849,1.045422892e-07,8.969550831e-08,-5.551887274e-08
-2.671875,-1.640625,6.912249904,19.38588426,1.701285952e-07,1.065309846e-07,-2.746106796e-08
-2.671875,-1.546875,6.912249904,21.29122862,1.582054216e-07,1.532911671e-07,-2.211317081e-09
-2.671875,-1.453125,6.912249904,23.38384001,2.22116291e-07,1.915345366e-07,1.99360722e-08
-2.671875,-1.359375,6.912249904,25.68212401,2.280237417e-07,2.375541769e-07,3.10659028e-08
-2.671875,-1.265625,6.912249904,28.20629517,2.930311483e-07,2.905876655e-07,3.997427411e-08
-2.671875,-1.171875,6.912249904,30.97855485,3.082107082e-07,3.418695592e-07,3.918704581e-08
-2.671875,-1.078125,6.912249904,34.02328646,3.691144953e-07,3.649412939e-07,3.73529236e-08
-2.671875,-0.984375,6.912249904,37.36726994,3.645902624e-07,3.811699441e-07,3.404661331e-08
