x,S,u_h,u_exact,error
1.2890625,362.9382414,267.8148181,267.815299,0.0004809154354
1.3125,371.5450738,276.4216425,276.4221313,0.0004887954899
1.3359375,380.3560113,285.232572,285.2330689,0.0004968624256
1.359375,389.3758942,294.2524466,294.2529517,0.0005051206684
1.3828125,398.6096774,303.4862214,303.486735,0.0005135747526
1.40625,408.0624335,312.9389688,312.9394911,0.0005222293202
1.4296875,417.7393552,322.6158817,322.6164128,0.0005310891257
1.453125,427.6457586,332.522276,332.5228161,0.0005401590357
1.4765625,437.7870855,342.6635936,342.664143,0.0005494440327
1.5,448.168907,353.0454056,353.0459646,0.0005589492171
1.5234375,458.7969264,363.6734153,363.6739839,0.0005686798101
1.546875,469.676982,374.5534609,374.5540395,0.0005786411577
1.5703125,480.8150506,385.6915193,385.6921082,0.0005888387319
1.59375,492.2172509,397.0937092,397.0943085,0.0005992781349
1.6171875,503.8898467,408.7662943,408.7669042,0.0006099651009
1.640625,515.83925,420.7156867,420.7163076,0.0006209055009
1.6640625,528.0720253,432.9484508,432.9490829,0.000632105345
1.6875,540.5948925,445.4713065,445.4719501,0.0006435707858
1.7109375,553.4147309,458.2911332,458.2917885,0.0006553081218
1.734375,566.5385831,471.4149733,471.4156406,0.000667323801
1.7578125,579.9736584,484.8500363,484.850716,0.0006796244238
1.78125,593.7273374,498.6037027,498.6043949,0.0006922167469
1.8046875,607.8071754,512.6835279,512.684233,0.0007051076882
1.828125,622.2209072,527.0972465,527.0979648,0.0007183043296
1.8515625,636.9764508,541.8527765,541.8535084,0.0007318139197
1.875,652.081912,556.9582239,556.9589696,0.0007456438801
1.8984375,667.5455889,572.4218867,572.4226465,0.0007598018067
1.921875,683.3759764,588.2522596,588.2530339,0.0007742954756
1.9453125,699.5817707,604.4580391,604.4588282,0.0007891328466
1.96875,716.1718742,621.0481275,621.0489318,0.0008043220647
1.9921875,733.1554008,638.0316385,638.0324584,0.0008198714632
2.015625,750.5416801,655.4179019,655.4187377,0.0008357895658
2.0390625,768.3402631,673.2164686,673.2173207,0.0008520850831
2.0625,786.5609274,691.4371162,691.4379849,0.0008687669069
2.0859375,805.2136823,710.089854,710.0907398,0.0008858440958
2.109375,824.3087744,729.1849287,729.185832,0.0009033258501
2.1328125,843.8566937,748.73283,748.7337513,0.0009212214657
2.15625,863.8681785,768.7442965,768.7452361,0.0009395402591
2.1796875,884.354222,789.2303213,789.2312795,0.0009582914487
2.203125,905.326078,810.2021581,810.2031356,0.0009774839623
2.2265625,926.7952672,831.6713277,831.6723248,0.0009971261502
2.25,948.7735836,853.649624,853.6506412,0.00101722535
2.2734375,971.2731008,876.1491205,876.1501583,0.001037787244
2.296875,994.3061786,899.1821773,899.1832362,0.001058814939
2.3203125,1017.88547,922.7614474,922.7625277,0.001080307645
2.34375,1042.023928,946.8998837,946.900986,0.001102258847
2.3671875,1066.734814,971.6107467,971.6118713,0.001124653793
2.390625,1092.031701,996.907611,996.9087584,0.00114746611
2.4140625,1117.928486,1022.804373,1022.805544,0.001170653354
2.4375,1144.439396,1049.31526,1049.316454,0.001194151224
2.4609375,1171.578995,1076.454834,1076.456052,0.001217866218
2.484375,1199.36219,1104.238006,1104.239247,0.001241666475
2.5078125,1227.804245,1132.680037,1132.681302,0.0012653706
2.53125,1256.920783,1161.796552,1161.797841,0.001288734299
2.5546875,1286.7278,1191.603547,1191.604858,0.001311434778
2.578125,1317.241671,1222.117395,1222.118728,0.001333052937
2.6015625,1348.479157,1253.354861,1253.356214,0.001353053582
