# Basket Delta surfaces — N=256, rho=0.0, domain [-6,6]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# ~50x50 subgrid of full 256x256 mesh; 2704 rows
x1,x2,S1,S2,u_DPG,delta1,delta2
-5.7421875,4.1015625,0.3207743656,6043.464299,1.632191247e-06,4.82266314e-05,-5.63044948e-11
-5.7421875,4.3359375,0.3207743656,7639.654709,1.550102117e-06,4.572810259e-05,-1.734752944e-10
-5.7421875,4.5703125,0.3207743656,9657.428452,1.359324283e-06,4.160394806e-05,-2.017227859e-10
-5.7421875,4.8046875,0.3207743656,12208.13346,1.200147834e-06,3.602891143e-05,-2.103368678e-10
-5.7421875,5.0390625,0.3207743656,15432.52672,1.021649976e-06,2.927661878e-05,-2.112160942e-10
-5.7421875,5.2734375,0.3207743656,19508.54173,7.263019812e-07,2.208658731e-05,-1.725664891e-10
-5.7421875,5.5078125,0.3207743656,24661.10749,4.483251622e-07,1.484380045e-05,-1.215151084e-10
-5.7421875,5.7421875,0.3207743656,31174.56092,2.894136128e-07,7.802952077e-06,-1.002898026e-10
-5.7421875,5.9765625,0.3207743656,39408.33756,-4.847369021e-08,5.507425723e-07,-6.101961698e-11
-5.5078125,-5.9765625,0.4054967931,0.2537534091,-1.912288748e-08,-2.187724987e-07,-9.380920922e-06
-5.5078125,-5.7421875,0.4054967931,0.3207743656,-3.065643911e-07,-3.263431562e-06,-7.613721464e-06
-5.5078125,-5.5078125,0.4054967931,0.4054967931,-4.323871572e-07,-5.709925749e-06,-5.423825171e-06
-5.5078125,-5.2734375,0.4054967931,0.5125959766,-5.932847196e-07,-7.779393978e-06,-3.861423305e-06
-5.5078125,-5.0390625,0.4054967931,0.6479820303,-7.235039105e-07,-9.103290119e-06,-1.925276496e-06
-5.5078125,-4.8046875,0.4054967931,0.8191260383,-7.729707727e-07,-9.523354477e-06,-5.6890303e-07
-5.5078125,-4.5703125,0.4054967931,1.035472336,-7.97730695e-07,-8.814680146e-06,7.059767957e-07
-5.5078125,-4.3359375,0.4054967931,1.308959682,-6.955689341e-07,-6.778242193e-06,2.065548237e-06
-5.5078125,-4.1015625,0.4054967931,1.654680082,-3.788961741e-07,-3.413595017e-06,2.401077196e-06
-5.5078125,-3.8671875,0.4054967931,2.091711616,-6.106954061e-08,9.974119538e-07,2.044860992e-06
-5.5078125,-3.6328125,0.4054967931,2.644171242,1.811701069e-07,6.011466964e-06,2.009209865e-06
