S,delta_DPG_tau01,delta_exact_tau01,delta_DPG_tau025,delta_exact_tau025,delta_DPG_tau05,delta_exact_tau05,delta_DPG_tau10,delta_exact_tau10
55.00994219,-1.906063761e-05,4.858036417e-21,-4.721227512e-05,3.284989945e-09,-5.702477884e-05,3.466396963e-05,0.004007391161,0.004166372055
56.31446538,-1.897918795e-05,1.502681728e-19,-4.73899976e-05,1.294418921e-08,-2.215658545e-05,6.868609356e-05,0.005696337419,0.0058495339
57.64992444,-1.931042127e-05,4.058109355e-18,-4.804925984e-05,4.835157503e-08,4.289400658e-05,0.0001325958818,0.007963976454,0.008110466289
59.017053,-2.001746189e-05,9.56946365e-17,-4.903557981e-05,1.712342839e-07,0.0001615811668,0.0002494036817,0.01096755011,0.01110612228
60.41660208,-2.043941498e-05,1.970707765e-15,-4.925754023e-05,5.750028681e-07,0.0003731668372,0.0004571220316,0.01489273519,0.01502118725
61.84934051,-2.050011971e-05,3.544863818e-14,-4.822626193e-05,1.831089945e-06,0.0007386502634,0.0008165207127,0.01995203483,0.0200681335
63.31605535,-2.089371353e-05,5.570589949e-13,-4.475129154e-05,5.530675354e-06,0.001351880564,0.001421550463,0.02638367859,0.02648556231
64.81755233,-2.179794767e-05,7.649273731e-12,-3.432021302e-05,1.584719116e-05,0.002353537275,0.002412555029,0.03444861343,0.03453445461
66.35465629,-2.213752224e-05,9.180435509e-11,-4.832089709e-06,4.308425461e-05,0.003947391785,0.003991886505,0.04442511396,0.0444920357
67.92821162,-2.259478436e-05,9.632819973e-10,6.831344088e-05,0.0001111667244,0.006414461436,0.006440778722,0.0565973188,0.05664309856
69.53908273,-2.371749026e-05,8.839615108e-09,0.000238442618,0.0002722901256,0.0101304522,0.01013535662,0.07124543615,0.07126882233
71.18815456,-2.479539007e-05,7.096914533e-08,0.0006155718524,0.0006333096796,0.01557949639,0.01555859623,0.088633931,0.088633357
72.87633299,-2.476770811e-05,4.987212659e-07,0.001407638263,0.001399174419,0.0233559546,0.02330413432,0.1089943736,0.1089687055
74.60454543,-2.126997924e-05,3.069234977e-06,0.002983757866,0.002937410877,0.03415500312,0.03406738007,0.1325088999,0.1324586924
76.37374124,-2.486820114e-06,1.655247919e-05,0.005959747344,0.00586253436,0.04874857018,0.04861975268,0.1592959536,0.1592230374
78.18489232,7.649758257e-05,7.828700379e-05,0.0112895889,0.01112895761,0.06793858199,0.06776333742,0.1893945555,0.1893027135
80.03899361,0.0003674920163,0.0003250232268,0.02034188991,0.02010609988,0.09249294849,0.09226590828,0.2227536501,0.2226478409
81.93706364,0.001319597535,0.00118585829,0.03491451981,0.03459420415,0.1230617757,0.1227798976,0.2592216414,0.2591093214
83.88014511,0.004098747371,0.00380765818,0.05714545977,0.05673210339,0.1600893106,0.1597529488,0.2985450023,0.2984352431
85.86930543,0.01129800086,0.01077843413,0.08927493494,0.08875885477,0.2037272499,0.2033413131,0.3403706904,0.3402727902
87.90563732,0.02775687115,0.02695823484,0.1332529114,0.1326261874,0.2537608521,0.2533395676,0.3842506623,0.3841759939
89.99025944,0.06084569519,0.05974383291,0.1902524714,0.1895143114,0.3095733806,0.3091400708,0.4296595172,0.4296191939
92.12431694,0.1191242613,0.117742404,0.2601966937,0.2593623469,0.3701479733,0.3697327837,0.4760119886,0.476015595
94.30898216,0.2089597043,0.2073161861,0.3414816145,0.3405591821,0.4340965603,0.4337507237,0.522682156,0.5227398491
96.54545522,0.3302464665,0.3280914425,0.4306556041,0.4299260259,0.4997253139,0.499559227,0.5690338016,0.5691532247
98.83496471,0.4691569529,0.4702625133,0.5227610527,0.5230510094,0.5652634063,0.5653797537,0.6144455574,0.6146296825
101.1787684,0.6159376579,0.6163732843,0.6143727432,0.6149283658,0.6291031058,0.629432789,0.6583390368,0.658581091
103.5781537,0.745888945,0.7474698209,0.6998977393,0.7007512805,0.6896214424,0.6900808747,0.7001919438,0.7004798982
106.0344388,0.849236213,0.8501619548,0.7759259887,0.7766528006,0.7454605574,0.7459527816,0.7395585775,0.7398778113
108.5489731,0.9196658698,0.9203911743,0.8396564211,0.8402078499,0.7955691346,0.79603331,0.7760831457,0.7764194036
111.1231378,0.9617730304,0.9623216412,0.8901782644,0.8905929253,0.8392977271,0.8397093556,0.8095094612,0.8098500221
113.7583471,0.9837877932,0.9841775076,0.9281058375,0.9284115639,0.8764205351,0.8767703195,0.839682621,0.8400178504
116.4560485,0.9938728155,0.994123015,0.955059444,0.9552873903,0.9070804294,0.9073680412,0.8665484484,0.8668704523
119.2177241,0.9979366101,0.998073946,0.9731967451,0.97337035,0.9317150503,0.9319468275,0.8901436418,0.8904465211
122.044891,0.9993828153,0.9994441255,0.984755489,0.9848897199,0.9509708603,0.9511569762,0.9105833378,0.910863858
124.9391022,0.999839158,0.9998589381,0.991733087,0.99183739,0.9656135783,0.9657652853,0.9280474804,0.9283047819
127.9019476,0.9999677886,0.9999685639,0.9957251938,0.9958047408,0.9764477734,0.9765738513,0.9427669285,0.943000221
130.9350549,1.000000019,0.999993854,0.9978899877,0.9979496684,0.984246935,0.9843548456,0.955003675,0.9552136702
134.0400902,1.000006933,0.9999989467,0.9990031577,0.9990475992,0.989709929,0.9898049018,0.9650384093,0.9652260376
137.2187594,1.000007863,0.9999998419,0.9995459385,0.9995796918,0.9934334217,0.9935191053,0.9731558571,0.9733221756
140.4728085,1.000007444,0.9999999792,0.9997968162,0.9998238373,0.9959032063,0.9959819058,0.9796339362,0.9797796353
143.8040251,1.000007231,0.9999999976,0.9999072656,0.9999298992,0.9974984865,0.9975707874,0.9847354602,0.9848599216
147.2142393,1.000006631,0.9999999998,0.9999529194,0.9999735226,0.9985014308,0.9985681488,0.9886995253,0.9888022913
150.7053244,1.000006661,1,0.999971197,0.9999905099,0.9991167524,0.9991772821,0.9917410615,0.9918199434
154.2791982,1.000007047,1,0.9999791839,0.9999967729,0.9994868347,0.9995392506,0.9940470128,0.9940983104
157.9378239,1.000005159,1,0.9999803961,0.9999989591,0.9997031305,0.9997485306,0.9957724369,0.995795072
161.6832115,1.00000704,1,0.9999839296,0.9999996816,0.9998336149,0.9998662596,0.9970554702,0.9970414812
165.5174183,1.000008908,1,0.9999893383,0.9999999076,0.9999158375,0.999930697,0.9980018638,0.9979445965
