# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
122.044891,0.19921875,28.00214499,0.9105833378,0.00662494915,0.910863858,0.03302680296,0.0002805201961,0.02640185381
124.9391022,0.22265625,30.66352551,0.9280474804,0.0054948403,0.9283047819,0.02736514508,0.0002573015704,0.02187030478
127.9019476,0.24609375,33.43563313,0.9427669285,0.004495731694,0.943000221,0.02236479118,0.0002332925281,0.01786905948
130.9350549,0.26953125,36.31431573,0.955003675,0.003628374605,0.9552136702,0.01802884117,0.0002099952371,0.01440046657
134.0400902,0.29296875,39.29578319,0.9650384093,0.002888770814,0.9652260376,0.01433529555,0.0001876282466,0.01144652473
137.2187594,0.31640625,42.37672804,0.9731558571,0.002268951682,0.9733221756,0.01124297804,0.0001663184727,0.008974026354
140.4728085,0.33984375,45.55441801,0.9796339362,0.001758410903,0.9797796353,0.008697450111,0.000145699112,0.006939039208
143.8040251,0.36328125,48.82667772,0.9847354602,0.001344757416,0.9848599216,0.006636489372,0.0001244614215,0.005291731956
147.2142393,0.38671875,52.19193046,0.9886995253,0.001015113393,0.9888022913,0.004994830248,0.0001027659919,0.003979716855
150.7053244,0.41015625,55.64917443,0.9917410615,0.000756902852,0.9918199434,0.003707993258,7.888191569e-05,0.002951090406
154.2791982,0.43359375,59.1978765,0.9940470128,0.0005573972529,0.9940983104,0.002715144899,5.129756062e-05,0.002157747646
157.9378239,0.45703125,62.83804396,0.9957724369,0.0004063279318,0.995795072,0.001961024231,2.263512978e-05,0.001554696299
161.6832115,0.48046875,66.57019733,0.9970554702,0.0002941353847,0.9970414812,0.001397039809,1.398896355e-05,0.001102904424
165.5174183,0.50390625,70.39502801,0.9980018638,0.0002102783448,0.9979445965,0.0009816812041,5.72673297e-05,0.0007714028593
169.4425508,0.52734375,74.31371094,0.9986870912,0.0001508012765,0.9985900549,0.0006804058564,9.703631632e-05,0.00052960458
173.4607651,0.55078125,78.32781253,0.9991997306,0.0001106617637,0.9990450808,0.0004651590589,0.0001546497998,0.0003544972952
177.5742686,0.57421875,82.43885435,0.9995869615,7.975137761e-05,0.9993614882,0.0003136684199,0.0002254733091,0.0002339170423
181.785321,0.59765625,86.64873732,0.9998636254,5.785202409e-05,0.9995785081,0.0002086296273,0.0002851172979,0.0001507776032
186.0962357,0.62109375,90.95957791,1.000079975,4.644757245e-05,0.9997253316,0.0001368727651,0.0003546429515,9.042519267e-05
190.5093807,0.64453125,95.37353044,1.000268837,3.967131785e-05,0.9998233107,8.85714945e-05,0.0004455260634,4.890017665e-05
195.0271805,0.66796875,99.8929399,1.000434277,3.348567143e-05,0.9998878041,5.653361765e-05,0.0005464727848,2.304794622e-05
199.6521168,0.69140625,104.5202113,1.000574987,2.736203999e-05,0.9999296775,3.559225096e-05,0.0006453099576,8.230210971e-06
204.3867303,0.71484375,109.2578737,1.000690373,2.120329821e-05,0.9999564942,2.210242906e-05,0.0007338790678,8.991308481e-07
209.2336219,0.73828125,114.1083594,1.000778147,1.28353286e-05,0.9999734342,1.353818451e-05,0.0008047127898,7.028559113e-07
214.1954543,0.76171875,119.0741075,1.000816271,1.153613553e-06,0.9999839894,8.179311062e-06,0.0008322820809,7.025697509e-06
219.2749531,0.78515625,124.1576549,1.000789731,-1.075147797e-05,0.9999904766,4.874262275e-06,0.0007992542034,1.562574024e-05
224.4749088,0.80859375,129.3614669,1.000705752,-1.887868155e-05,0.9999944093,2.865081207e-06,0.0007113427722,2.174376276e-05
229.7981778,0.83203125,134.688203,1.000591066,-2.167009743e-05,0.999996761,1.661119402e-06,0.000594305181,2.333121684e-05
235.2476846,0.85546875,140.1406366,1.000472305,-2.082549989e-05,0.9999981481,9.499497631e-07,0.0004741569382,2.177544965e-05
240.8264226,0.87890625,145.7216995,1.000361397,-1.851503686e-05,0.9999989551,5.358414427e-07,0.0003624424237,1.905087831e-05
246.5374567,0.90234375,151.4345051,1.000263274,-1.609431819e-05,0.9999994181,2.98131478e-07,0.0002638563185,1.639244967e-05
252.383924,0.92578125,157.2822429,1.000175387,-1.382449178e-05,0.9999996803,1.636120325e-07,0.0001757070942,1.398810381e-05
258.3690363,0.94921875,163.26817,1.000099709,-1.153271356e-05,0.9999998266,8.856426425e-08,9.988225617e-05,1.162127783e-05
264.4960814,0.97265625,169.395617,1.000035701,-9.365162484e-06,0.9999999072,4.728655458e-08,3.579409381e-05,9.412449039e-06
270.7684252,0.99609375,175.6680074,0.9999835866,-7.136419266e-06,0.999999951,2.490305895e-08,1.636442289e-05,7.161322325e-06
277.1895134,1.01953125,182.0888388,0.9999451157,-4.944201858e-06,0.9999999745,1.293610687e-08,5.485880438e-05,4.957137965e-06
283.7628732,1.04296875,188.6617624,0.9999193394,-2.98728909e-06,0.9999999869,6.628120048e-09,8.064745746e-05,2.99391721e-06
290.4921158,1.06640625,195.3904048,0.999905377,-1.548812348e-06,0.9999999933,3.349754735e-09,9.46163874e-05,1.552162103e-06
297.3809379,1.08984375,202.278541,0.9998982476,-8.158470186e-07,0.9999999967,1.669827182e-09,0.0001017490722,8.175168457e-07
304.4331236,1.11328125,209.3299822,0.9998940032,-5.390291314e-07,0.9999999984,8.210430253e-10,0.0001059951269,5.398501744e-07
311.652547,1.13671875,216.5485949,0.9998905548,-2.496213212e-07,0.9999999992,3.981953451e-10,0.0001094444148,2.500195165e-07
319.0431742,1.16015625,223.9384153,0.9998903562,2.636477686e-07,0.9999999996,1.90485672e-10,0.0001096433668,2.634572829e-07
326.6090651,1.18359375,231.5034893,0.999894498,8.631350185e-07,0.9999999998,8.988026054e-11,0.0001055017811,8.630451382e-07
334.3543758,1.20703125,239.2480104,0.9999035719,1.192381335e-06,0.9999999999,4.183138115e-11,9.642803244e-05,1.192339503e-06
342.2833614,1.23046875,247.1762573,0.9999131878,1.058352095e-06,1,1.920330405e-11,8.68121861e-05,1.058332892e-06
350.4003774,1.25390625,255.2925805,0.9999205542,8.380023935e-07,1,8.69532032e-12,7.944578071e-05,8.379936982e-07
358.7098828,1.27734375,263.6014498,0.9999269532,8.270908424e-07,1,3.883569532e-12,7.304675321e-05,8.270869588e-07
367.2164426,1.30078125,272.1074279,0.9999344626,1.07250121e-06,1,1.710852064e-12,6.553738159e-05,1.072499499e-06
375.9247296,1.32421875,280.8151708,0.9999454162,1.257552624e-06,1,7.434122343e-13,5.458381581e-05,1.257551881e-06
384.8395276,1.34765625,289.7295173,0.9999566246,1.115127898e-06,1,3.186271821e-13,4.337542767e-05,1.115127579e-06
393.965734,1.37109375,298.8553452,0.9999655342,7.93813976e-07,1,1.347013084e-13,3.446578972e-05,7.938138413e-07
403.3083622,1.39453125,308.1976771,0.9999712854,5.591125319e-07,1,5.616899828e-14,2.871460924e-05,5.591124757e-07
412.8725443,1.41796875,317.7616142,0.9999761052,5.213414191e-07,1,2.310241687e-14,2.389475537e-05,5.21341396e-07
422.6635346,1.44140625,327.5523836,0.999981376,5.551129538e-07,1,9.372469298e-15,1.862395629e-05,5.551129444e-07
432.6867114,1.46484375,337.5753959,0.9999871043,5.134266762e-07,1,3.750477027e-15,1.289565458e-05,5.134266725e-07
442.9475811,1.48828125,347.8361315,0.9999917904,4.065209909e-07,1,1.480317474e-15,8.20958571e-06,4.065209894e-07
453.4517803,1.51171875,358.3402576,0.9999955458,3.091190622e-07,1,5.763139004e-16,4.454218224e-06,3.091190616e-07
