S,gamma_DPG_tau01,gamma_exact_tau01,gamma_DPG_tau025,gamma_exact_tau025,gamma_DPG_tau05,gamma_exact_tau05,gamma_DPG_tau10,gamma_exact_tau10
55.00994219,-7.946691249e-08,6.593386189e-20,-3.031792882e-07,1.781022361e-08,2.029882685e-05,9.368668834e-05,0.00113580824,0.005584051888
56.31446538,-9.461566077e-08,1.91491126e-18,-3.170417963e-07,6.593111884e-08,3.78482793e-05,0.0001745390494,0.001498716629,0.007380078582
57.64992444,-3.841777151e-07,4.847831549e-17,-6.088913423e-07,2.310228892e-07,6.798586317e-05,0.0003163581816,0.001950431745,0.009620738273
59.017053,-4.08068395e-07,1.069806217e-15,-4.367261198e-07,7.662369089e-07,0.0001193752484,0.0005578754892,0.002504360694,0.01237062628
60.41660208,-1.704127218e-07,2.057886619e-14,2.857470771e-07,2.405551262e-06,0.0002037466517,0.0009571218628,0.0031721655,0.01568956297
61.84934051,-1.566842115e-07,3.450614937e-13,1.554171861e-06,7.148413331e-06,0.0003375511294,0.001597603261,0.003963141435,0.01962754036
63.31605535,-4.372423643e-07,5.043479753e-12,4.684992085e-06,2.010704212e-05,0.000544060568,0.002594432559,0.004883943415,0.0242190322
64.81755233,-4.093359868e-07,6.425734753e-11,1.313736243e-05,5.353406363e-05,0.000854179694,0.004099091183,0.005937415188,0.02947701911
66.35465629,-2.561632838e-07,7.136315401e-10,3.29941805e-05,0.0001349135983,0.001305486648,0.006300928019,0.007120260803,0.03538720112
67.92821162,-4.961546606e-07,6.908503896e-09,7.639514117e-05,0.0003218286711,0.001941655906,0.009423087052,0.008422339991,0.04190296349
69.53908273,-6.750442416e-07,5.829787256e-08,0.0001678736166,0.0007266699981,0.002811409623,0.01371051076,0.009827353663,0.04894170958
71.18815456,-3.146955617e-07,4.288250384e-07,0.0003503470086,0.001553077827,0.003962993895,0.01940822465,0.01131138947,0.05638315913
72.87633299,1.03191086e-06,2.749579574e-06,0.0006931835685,0.003141902477,0.005437172573,0.02672943216,0.01284249096,0.06407012164
74.60454543,6.370685502e-06,1.536778159e-05,0.001301566407,0.006016385742,0.007260409369,0.03581503673,0.01438253028,0.07181208964
76.37374124,2.730672887e-05,7.487120022e-05,0.002319839749,0.01090491131,0.009435839571,0.04668881107,0.01588830843,0.07939176425
78.18489232,0.0001009422542,0.0003179634055,0.003923916042,0.01870906542,0.01193488849,0.05921503284,0.01731332256,0.08657434502
80.03899361,0.0003313014905,0.001177058948,0.006296335874,0.03038264233,0.01469101192,0.07306726979,0.0186097808,0.09311911698
81.93706364,0.0009713897906,0.003798201631,0.009581389806,0.04670275283,0.0175979422,0.08771735573,0.01973141442,0.09879258662
83.88014511,0.002537586412,0.01068357363,0.01382428093,0.06795210441,0.02051386425,0.1024518791,0.02063684112,0.1033821921
