x1,x2,S1,S2,delta1,delta2
-2.671875,2.859375,6.912249904,1745.061689,-5.160660934e-08,-1.41584877e-09
-2.671875,2.953125,6.912249904,1916.575322,-4.903692994e-08,2.590234325e-10
-2.578125,-2.953125,7.591621356,5.217639967,-1.931975925e-08,1.07465907e-06
-2.578125,-2.859375,7.591621356,5.730456443,-9.237298337e-08,8.261952336e-07
-2.578125,-2.765625,7.591621356,6.293675158,-1.072502935e-07,5.112738416e-07
-2.578125,-2.671875,7.591621356,6.912249904,-8.009139848e-08,2.462719577e-07
-2.578125,-2.578125,7.591621356,7.591621356,-4.695479415e-08,1.014024529e-08
-2.578125,-2.484375,7.591621356,8.337764926,-2.789087794e-09,-1.666243997e-07
-2.578125,-2.390625,7.591621356,9.157243322,3.713842975e-08,-2.995491097e-07
-2.578125,-2.296875,7.591621356,10.05726427,6.477042559e-08,-3.816006118e-07
-2.578125,-2.203125,7.591621356,11.0457439,6.88428686e-08,-4.118678527e-07
-2.578125,-2.109375,7.591621356,12.13137638,5.871896733e-08,-4.172665535e-07
-2.578125,-2.015625,7.591621356,13.32371041,5.007750399e-08,-3.60644976e-07
-2.578125,-1.921875,7.591621356,14.63323316,2.480577334e-08,-2.961088684e-07
-2.578125,-1.828125,7.591621356,16.07146254,6.751025721e-09,-1.981298426e-07
-2.578125,-1.734375,7.591621356,17.65104849,-1.180177445e-08,-1.167913246e-07
-2.578125,-1.640625,7.591621356,19.38588426,-2.962016094e-08,-3.397731971e-08
-2.578125,-1.546875,7.591621356,21.29122862,-3.974178686e-08,2.545013285e-08
-2.578125,-1.453125,7.591621356,23.38384001,-4.392628695e-08,7.228428766e-08
-2.578125,-1.359375,7.591621356,25.68212401,-4.719281026e-08,9.533194788e-08
-2.578125,-1.265625,7.591621356,28.20629517,-5.33168439e-08,1.092776338e-07
-2.578125,-1.171875,7.591621356,30.97855485,-6.616957546e-08,1.004778169e-07
-2.578125,-1.078125,7.591621356,34.02328646,-7.730156779e-08,8.387433248e-08
-2.578125,-0.984375,7.591621356,37.36726994,-9.570610631e-08,6.267698133e-08
-2.578125,-0.890625,7.591621356,41.03991731,-1.217631482e-07,3.991802455e-08
-2.578125,-0.796875,7.591621356,45.07353134,-1.536394889e-07,1.988693775e-08
-2.578125,-0.703125,7.591621356,49.50358969,-1.878321336e-07,-6.512308429e-09
-2.578125,-0.609375,7.591621356,54.36905695,-2.405743581e-07,-2.160810039e-08
-2.578125,-0.515625,7.591621356,59.71272734,-2.904182348e-07,-2.569260935e-08
-2.578125,-0.421875,7.591621356,65.58160113,-3.014025492e-07,-2.617874302e-08
-2.578125,-0.328125,7.591621356,72.027298,-2.94657326e-07,-3.139376383e-08
-2.578125,-0.234375,7.591621356,79.10651109,-3.009584146e-07,-3.809247479e-08
-2.578125,-0.140625,7.591621356,86.88150563,-3.097065912e-07,-1.846492119e-08
-2.578125,-0.046875,7.591621356,95.4206666,-2.613605404e-07,-2.408095169e-08
-2.578125,0.046875,7.591621356,104.7991002,-1.477776286e-07,5.612378148e-09
-2.578125,0.140625,7.591621356,115.0992945,-5.706889023e-08,-2.109123893e-08
-2.578125,0.234375,7.591621356,126.4118448,-1.795247581e-08,3.788404373e-09
-2.578125,0.328125,7.591621356,138.8362507,1.202095893e-07,1.005800199e-08
-2.578125,0.421875,7.591621356,152.4817911,2.577185717e-07,2.702421274e-09
-2.578125,0.515625,7.591621356,167.4684853,3.446094998e-07,5.967463681e-09
-2.578125,0.609375,7.591621356,183.9281489,4.491506633e-07,7.190429581e-09
-2.578125,0.703125,7.591621356,202.0055528,5.637169427e-07,3.015118239e-09
-2.578125,0.796875,7.591621356,221.8596969,6.51318065e-07,3.021217883e-09
-2.578125,0.890625,7.591621356,243.6652083,7.174001865e-07,7.964946256e-10
-2.578125,0.984375,7.591621356,267.6138775,7.725455867e-07,-1.608283588e-09
-2.578125,1.078125,7.591621356,293.916345,7.961136999e-07,-1.706267499e-09
-2.578125,1.171875,7.591621356,322.8039542,8.012284423e-07,-1.928496614e-09
-2.578125,1.265625,7.591621356,354.5307861,7.852285248e-07,-1.839912273e-09
-2.578125,1.359375,7.591621356,389.3758942,7.468124445e-07,-1.528566156e-09
-2.578125,1.453125,7.591621356,427.6457586,6.964985623e-07,-6.759277123e-10
-2.578125,1.546875,7.591621356,469.676982,6.300195926e-07,7.088159825e-10
-2.578125,1.640625,7.591621356,515.83925,5.629236242e-07,2.167708849e-09
-2.578125,1.734375,7.591621356,566.5385831,5.050761077e-07,2.441049427e-09
-2.578125,1.828125,7.591621356,622.2209072,4.456918193e-07,2.444491019e-09
-2.578125,1.921875,7.591621356,683.3759764,3.932492898e-07,2.355912994e-09
-2.578125,2.015625,7.591621356,750.5416801,3.437601553e-07,2.968676914e-09
-2.578125,2.109375,7.591621356,824.3087744,3.153673199e-07,3.445049369e-09
-2.578125,2.203125,7.591621356,905.326078,3.081765995e-07,2.866177828e-09
-2.578125,2.296875,7.591621356,994.3061786,3.153963505e-07,1.212367348e-09
-2.578125,2.390625,7.591621356,1092.031701,3.248120871e-07,-1.005310498e-10
-2.578125,2.484375,7.591621356,1199.36219,3.554047653e-07,-4.1570258e-11
-2.578125,2.578125,7.591621356,1317.241671,3.607417504e-07,-1.809128969e-09
-2.578125,2.671875,7.591621356,1446.706953,2.909565199e-07,-1.338676676e-09
