# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
126.4118448,0.234375,32.11782987,0.935034289,0.005235832776,0.9359797978,0.004956291177,0.0009455088004,0.0002795415992
138.8362507,0.328125,44.02056436,0.9765776308,0.002234175522,0.9767389352,0.001981126311,0.0001613043291,0.0002530492115
152.4817911,0.421875,57.4813065,0.9932791248,0.0007701848261,0.9930410422,0.0006356842996,0.0002380826068,0.0001345005265
167.4684853,0.515625,72.41976505,0.9986297435,0.0002138502388,0.9982949354,0.0001637362241,0.0003348080491,5.01140147e-05
183.9281489,0.609375,88.87355935,1.000003936,4.813934308e-05,0.9996591995,3.385493803e-05,0.0003447364401,1.428440506e-05
202.0055528,0.703125,106.9553203,1.000292335,8.852844526e-06,0.9999445975,5.61918385e-06,0.000347737746,3.233660676e-06
221.8596969,0.796875,126.8161623,1.000339738,1.274570934e-06,0.9999926913,7.486837838e-07,0.0003470468045,5.258871498e-07
243.6652083,0.890625,148.6292752,1.000345433,1.980538873e-07,0.999999219,8.007511626e-08,0.0003462144336,1.17978771e-07
267.6138775,0.984375,172.5863569,1.0003488,1.120918257e-07,0.9999999325,6.874968229e-09,0.0003488673755,1.052168574e-07
293.916345,1.078125,198.8981261,1.000351066,4.092022639e-08,0.9999999953,4.738247909e-10,0.0003510708501,4.04464016e-08
322.8039542,1.171875,227.7959628,1.000351058,9.163521504e-09,0.9999999997,2.621433409e-11,0.0003510585134,9.13730717e-09
354.5307861,1.265625,259.5340584,1.000351622,2.34282717e-08,1,1.164216759e-12,0.0003516215876,2.342710748e-08
389.3758942,1.359375,294.3915557,1.000352618,1.388890871e-08,1,4.15052305e-14,0.0003526179134,1.38888672e-08
427.6457586,1.453125,332.6750413,1.000352637,2.65285644e-09,1,1.187806724e-15,0.0003526370626,2.652855252e-09
469.676982,1.546875,374.7212384,1.000352831,6.296234085e-09,1,2.728743383e-17,0.0003528309402,6.296234057e-09
515.83925,1.640625,420.8999593,1.000353192,1.655001918e-09,1,5.032149996e-19,0.0003531923495,1.655001918e-09
566.5385831,1.734375,471.6173757,1.000352991,-1.749275871e-09,1,7.449350805e-21,0.0003529912463,1.749275871e-09
622.2209072,1.828125,527.319548,1.000353006,5.978125788e-09,1,8.852322791e-23,0.0003530062586,5.978125788e-09
683.3759764,1.921875,588.4964301,1.00035369,1.126277023e-08,1,8.444423839e-25,0.000353689715,1.126277023e-08
750.5416801,2.015625,655.6861413,1.000354452,1.3702673e-08,1,6.466313718e-27,0.000354451506,1.3702673e-08
824.3087744,2.109375,729.4796708,1.000355621,2.477796185e-08,1,3.974820172e-29,0.000355620871,2.477796185e-08
905.326078,2.203125,810.5261501,1.000358287,4.673677238e-08,1,1.961336749e-31,0.0003582867479,4.673677238e-08
994.3061786,2.296875,899.5386235,1.000363566,8.754807968e-08,1,7.768922922e-34,0.000363566001,8.754807968e-08
1092.031701,2.390625,997.3004941,1.000374632,1.432058723e-07,1,2.470264323e-36,0.0003746324667,1.432058723e-07
1199.36219,2.484375,1104.672533,1.000392931,1.685267324e-07,1,6.305216535e-39,0.0003929312259,1.685267324e-07
1317.241671,2.578125,1222.599617,1.000412586,9.960119369e-08,1,1.291904919e-41,0.000412586367,9.960119369e-08
1446.706953,2.671875,1352.116233,1.000417567,-7.936187266e-08,1,2.124883207e-44,0.0004175670597,7.936187266e-08
1588.896749,2.765625,1494.350201,1.000391027,-2.525603751e-07,1,2.805521125e-47,0.0003910273113,2.525603751e-07
1745.061689,2.859375,1650.522725,1.000342214,-1.448257227e-07,1,2.973486619e-50,0.0003422144757,1.448257227e-07
1916.575322,2.953125,1821.931157,1.000343571,7.909280859e-09,1,2.529836185e-53,0.0003435710252,7.909280859e-09
